id,俄语
3259,Проверьте интернет-соединение и повторите попытку позже (cd)
3260,Идет попытка подключения к сети. Проверьте сеть и повторите попытку (fz)
3261,Идет попытка подключения к сети. Проверьте сеть и повторите попытку (fz)
3262,Идет попытка подключения к сети. Повторите попытку позже (fz)
3263,Идет попытка подключения к сети. Повторите попытку позже (fz)
3264,Проверьте интернет и повторите попытку позже. Или свяжитесь со службой поддержки (fz)
3265,Идет попытка подключения к сети. Проверьте сеть и повторите попытку (jy)
3266,Идет попытка подключения к сети. Проверьте сеть и повторите попытку или свяжитесь со службой поддержки (jy)
3267,Некорректные данные Дома. Проверьте сеть и время на мобильном телефоне и повторите попытку позже или свяжитесь со службой поддержки
3268,Сбой данных Сада. Проверьте сеть и время на мобильном телефоне и повторите попытку позже или свяжитесь со службой поддержки
3269,Проверьте интернет-соединение и повторите попытку позже (jy)
3270,Удачный вход (bhxs)
3271,Ошибка пароля. Проверьте правильность UID или пароля
3272,Сеть нестабильна. Проверьте в нормальном ли состоянии соединение или UID.
3273,Берегите свой UID. Не говорите никому
3274,Повторное название аккаунта. Измените название
3275,Заполните свой профиль и подтвердите пароль аккаунта
3276,0
3277,0
3278,0
3279,0
3280,Невозможно получить. Повторите попытку позже
3281,Недостаточно Мини монет. Сначала пополните
3282,Покупка ограничена. Выберите другие товары
3283,Аккаунт не активирован. Сначала активируйте аккаунт
3284,Недостаточное количество
3285,Сейчас не время покупки с ограниченным временем
3286,Неверный код активации
3287,Код активации уже использован
3288,Недействительный код активации
3289,Награда получена. Нельзя использовать повторно
3290,Проверьте сеть и повторите попытку позже. miniworldcustomerservice@gmail.com (обратная связь по вопросам закупок)
3291,Проверьте баланс и повторите попытку (не удалось совершить покупку)
3292,Неверная версия. Загрузите последнюю версию или свяжитесь со службой поддержки
3293,Не осталось попыток
3294,"Если у Вас возникли проблемы или сомнения по поводу покупки, пожалуйста, свяжитесь с нами, используя информацию ниже. Мы постараемся решить проблему как можно скорее.
1. Электронная почта обслуживания клиентов: miniworldcustomerservice@gmail.com

2. Facebook:
https://www.facebook.com/miniworldtech/

3. Твиттер:
https://twitter.com/miniwantech
Внимание. Пожалуйста, предоставьте свой UID и приложите скриншоты, чтобы помочь нам обнаружить проблему. Спасибо!"
3295,0
3296,Неверные данные плода. Проверьте интернет и время на мобильном телефоне и повторите попытку позже или свяжитесь со службой поддержки
3297,Неверное положение плода. Перезагрузите Ваше устройство и повторите попытку или свяжитесь со службой поддержки
3298,Неверное состояние плода. Проверьте интернет и время на мобильном телефоне и повторите попытку позже или свяжитесь со службой поддержки
3299,Не удалось отчислить Мини бобы
3300,Нет соответствующих определений для сундуков с сокровищами
3301,Нет соответствующих определений для сундуков с сокровищами
3302,Оставить
3303,Оставить
3304,Идет сохранение. Другие операции не разрешены сейчас
3305,Проверьте интернет-соединение и повторите попытку позже или свяжитесь со службой поддержки
3306,"Слишком частые действия, не спешите (сх)"
3307,"Неверные данные, свяжитесь со службой поддержки (сх)"
3308,Достигнут верхний предел вознаграждения на сегодня. Повторите попытку завтра
3401,Награды получены. Проверьте склад.
3402,Не удалось получить награды. Повторите попытку позже
3403,Поздравляем!
3410,Официальный Сайт
3411,Получено
3412,Просрочено
3413,Мобильный телефон
3414,Электронная почта
3415,Привязать
3416,Успешно привязан
3417,Получить проверочный код
3418,Проверочный код
3419,Неверный номер мобильного телефона
3420,Неверная электронная почта
3421,Неверный проверочный код
3422,Управление UID
3423,Привязать
3424,Привязать номер телефона
3425,Привязать электронную почту
3426,Привяжите электронную почту к Вашему UID и получите награду!
3427,Проверочный код уже отправлен
3428,Успешно привязан
3429,Этот номер телефона/электронаая почта уже привязан к другому UID
3430,Отправить
3431,Проверочный код отправлен
3432,"Пожалуйста, не получайте проверочный код слишком часто"
3433,Невозможно получить
3434,Не привязан
3435,К этому аккаунту было привязано ранее
3436,Не удалось привязать
3437,Версия слишком устарела
3438,Версия слишком устарела
3439,Версия слишком устарела
3440,"Срок действия проверочного кода истек, получите заново"
3441,Ограниченная по времени покупка: завершена
3442,Начать игру
3443,Онлайн-лобби
3444,Мой Дом
3445,Настройки аккаунта
3446,Установите настройки вне сохранения
3447,Мой профиль
3448,FAQ
3449,Уведомление
3450,Бонус
3451,События
3452,Перейти к
3453,Объявление
3454,Профиль
3455,Альбом
3456,Профиль
3457,Публикации:
3458,Титул:
3459,Гильдия:
3460,Временно недоступно
3461,Управлять
3462,Папка по умолчанию
3463,Текущая сеть не существует
3464,"Мой профиль теперь доступен!
Особенности:
1. Вы можете видеть своих друзей и подписчиков в настройках
2. Разблокируйте пользовательский аватар с помощью монет
3. Вы можете бесплатно использовать 3 слота в Альбоме. Каждый добавленный слот стоит 5 Мини монет для разблокировки
4. Вы можете отредактировать свой профиль"
3465,Муж.
3466,Жен.
3467,Другие
3468,Проверка не удалась
3469,Не проверено
3470,Загрузить фото
3471,Заблокировано
3472,Хотите открыть пользовательский аватар?
3473,Вы открыли функцию загрузки аватара!
3474,"Не удалось разблокировать, повторите попытку позже"
3475,Разблокировать новый слот для фото?
3476,Вы разблокировали новый слот для фото!
3477,Вы используете эксклюзивную рамку аватара стримера Мини мира!
3478,Это эксклюзивно для стримеров
3479,Эта функция еще не открыта
3480,Нет загруженных фото
3481,Просмотреть
3482,Загрузить
3483,Изменить
3484,Удалить
3485,Отмена
3486,ОК
3487,Ник
3488,Пол
3489,Редактировать аватар
3490,Эксклюзивная рамка аватара стримера Мини мира
3491,Стример
3492,Восстановить по умолчанию
3493,UID друга
3494,Показать справку
3495,简体中文
3496,English
3497,繁體中文
3498,"Закройте и перезапустите игру, чтобы переключить язык. (Пользователям iOS необходимо сделать это вручную.)
Close and restart the game to switch language. (iOS users need to do it manually.)"
3499,Переключить язык
3500,Ящик для инструментов
3501,Плавильная печь
3502,Ремонтный стенд
3503,Атрибут маунта
3504,Достижение
3505,Перезарядка
3506,Можно призвать
3507,QR-код комнаты
3508,Отсканируйте и быстро присоединитесь к многопользовательской комнате
3509,QR-код приглашения
3510,Поделиться ссылкой
3511,Хо-хо-хо~Счастливого Рождества. Дети! Приходите посмотреть мои вещи
3512,С Новым Годом. Желаю Вам богатства! Приходите посмотреть мои вещи!
3513,Больше карт
3514,На Вашем складе ничего нет
3515,Вы еще не подписались на карты
3516,Ваш интернет нестабильный. Повторите попытку позже
3517,Посмотрите. Доступна новая миссия!
3518,(Бесплатно)
3519,Вопросы новичков
3520,Сложные проблемы
3521,Связаться с нами
3522,Мини капитан
3523,@10%
3524,Начальная цена:
3525,Сельскохозяйственная культура
3526,Инструменты
3527,Разное
3528,Блоки
3529,Редактировать
3530,"Двигайте #cef2d2dмышкой#n, чтобы повернуться к @name"
3531,Используйте #cef2d2d“W S A D”#n для перемещения
3532,"Нажмите на #cef2d2d“W”#n, чтобы идти вперед"
3533,"Нажмите на #cef2d2d“S”#n, чтобы двигаться назад"
3534,"Нажмите на #cef2d2d“А”#n, чтобы двигаться влево"
3535,"Нажмите на #cef2d2d“D”#n, чтобы двигаться вправо"
3536,Закрыть
3537,"Нажмите на кнопку #cef2d2d 1 #n, чтобы выбрать кристалл"
3538,Версия слишко устарела
3539,"#cef2d2dЩелчок правой кнопкой мыши#n, чтобы нацелиться на цель"
3540,Соберите еду вместе с @name
3541,"Нажмите #cef2d2d B #n, чтобы открыть рюкзак"
3542,"Нажмите #cef2d2d на левую кнопку мыши #n, чтобы выбрать предмет"
3543,"Нажмите на левую кнопку мыши, чтобы выбрать предметы на панели быстрого доступа"
3544,Сегодняшние клики:
3545,"Нажмите Alt, чтобы показать больше"
3546,Запретить
3547,Разрешить
3548,Соединение LAN
3549,Соединение сети
3550,Ультра-обзор (очень высокие технические характеристики)
3551,"Дальний обзор (средние, высокие технические характеристики)"
3552,Хороший обзор (подходит для большинства устройств)
3553,Сбалансированный (подходит для большинства устройств)
3554,Плавное воспроизведение (подходит для устройств с меньшим объемом оперативной памяти)
3555,"Нажмите TAB, чтобы откр/закр"
3556,Событие Праздника весны
3557,Поделись в честь Праздника весны!
3558,"1. Поделись своей специальной ссылкой. Другой игрок сможет открыть страницу, нажимая на твои ссылки\n2. Один IP может открыть страницу только один раз\n3. Во время ивента, ты будешь получать награду каждый раз, когда количество кликов достигнет 2/12/25/58."
3559,"Зажмите кнопку Прыжка, чтобы плыть вверх"
3560,"Зажмите Пробел, чтобы плыть вверх"
3561,Отмечаться
3562,Верификация мобильного телефона
3563,Номер телефона
3564,Введите проверочный код
3565,Войти
3566,Вы переключаете UID @1 на другие устройства. Подтвердите пожалуйста сначала мобильным телефоном:
3567,"Зачем привязывать электронную почту к UID: \n1. Можно восстановить пароль UID\n2. Вы можете установить новый пароль с помощью привязанной электронной почты. \nЕсли Вы не получили письмо, пожалуйста, проверьте спам"
3568,Вы восстанавливаете UID/изменяете пароль с помощью верификации номера мобильного телефона
3569,Восстановить пароль мобильным телефоном
3570,Неверный код подтверждения
3571,"Мы настоятельно рекомендуем Вам привязать электронную почту к Вашему UID, чтобы Вы могли получить пароль по электронной почте и войти в свой аккаунт с других устройств."
3572,Общее количество за событие:
3573,Идет возврат
3574,(Подтвердите разблокировку)
3575,"Пожалуйста, настройте пароль"
3576,QQ кошелек
3577,Этот номер мобильного телефона еще не привязан к UID
3578,Оплата кошелька QQ временно закрыта
3579,Срок действия QR-кода истек
3580,Модельный рабочий стол
3581,Название модели
3582,С Праздником весны! Счастья и удачи!
3583,Пока нельзя пополнить. Пройдите в мобильную версию QQ лобби для пополнения
3584,Горячие клавиши
3585,Пусто
3586,Нельзя изменить на эту клавишу
3587,Конфликт клавиш:
3588,(Автоматическое закрытие через @1сек.)
3589,Я подумаю
3590,"Вы уверены, что хотите выйти? Захватывающие приключения ждут Вас!"
3591,Введите новую клавиши
3592,Зайдите на карту для просмотра кода рельефа
3593,День @1
3594,Удачно продали @1×@2
3595,Удачно купили @1×@2
3596,Удачно выменяли @1×@2
3597,Еще нужно #cfa7a0fМини монет×@1#n. Купить еще Мини монеты?
3598,Купить на @1 дн.
3599,@1 (@2) успешно использован
3600,0
3601,Мини мир -- Создай мир своей мечты
3602,Я нахожусь в Мини мире! Где ты?
3603,Создай здесь свой собственный мир!
3604,"Ты где? Давай заходи, присоединяйся ко мне"
3605,"Такая классная игра, не могу оторваться! Рекомендую @MiniWorld"
3606,Двигаться вперед
3607,Двигаться назад
3608,Двигаться влево
3609,Двигаться вправо
3610,Использовать предметы/Разместить блок
3611,Атака/Копать
3612,Красться
3613,Бежать
3614,Прыжок
3615,Выбросить выбранные предметы
3616,Откр/Закр рюкзак
3617,Откр/Закр карту
3618,Откр/Закр достижения
3619,Открыть магазин
3620,Список друзей
3621,Маунт
3622,Упорядочить рюкзак
3623,Список игроков
3624,Посмотреть счет
3625,Посмотреть состояние персонажа
3626,Настройки геймплея
3627,Библиотека ресурсов
3628,Скриншот сохранен как
3629,Хотите сохранить текущие настройки камеры по умолчанию?
3630,"Эта карта нарушает правила, нельзя войти в комнату"
3631,"Эта карта нарушает правила, нельзя найти комнату"
3632,"Эта карта нарушает правила, нельзя войти в игру"
3633,"Эта карта нарушает правила, нельзя создать многопользовательскую комнату"
3634,"Эта карта нарушает правила, нельзя поделиться"
3635,Нарушение
3636,"Эта карта нарушает правила, нельзя смотреть комментарии"
3637,"Теплые советы: Совместно поддерживайте здоровую игровую среду. Пожалуйста, не имитируйте никакого виртуального поведения в игре. Если Вы обнаружили ложную и неверную информацию, Вы можете сообщить об этом официальным лицам!#r Публикация порнографического, политического, насильственного и другого контента строго запрещено,и нарушители будут привлечены к юридической ответственности в соответствии с законом."
3638,Теплые советы от Мини капитана
3639,"Порнография, политика, насилие и другой связанный с ними контент строго запрещены для создания и распространения. Те, кто нарушает правила, будут забанены и привлечены к юридической ответственности"
3640,Выберите шаблон
3641,Не удалось соединиться с сервером
3642,Введите название
3643,Выберите модель
3644,Выберите существующий \n@1 шаблон
3645,Умение
3646,Особенности
3647,Переизбрать
3648,Размер модели
3649,Скорость передвижения
3650,Сбрасывать
3651,Сброшенные предметы
3652,Сбрасывать звезды опыта
3653,Баллы за победу
3654,Выберите модель
3655,Активная атака
3656,Сторона
3657,Счет
3658,Выберите модель
3659,Выберите предмет
3660,Движимый
3661,Дальность атаки
3662,"Пожалуйста, выберите модель"
3663,По умолчанию (монстр)
3664,1. Красная команда
3665,2. Синяя команда
3666,Отношения с хостом: враги
3667,Отношения с хостом: друзья
3668,Активная атака
3669,Библиотека умений
3670,Повреждающий
3671,Оглушающий
3672,Специальный
3673,Яйцо существа -
3674,Библиотека особенностей
3675,Не удалось войти в комнату голосового чата (@1)
3676,Вы вошли в комнату голосового чата
3677,Вернуться в онлайн-лобби
3678,"Не удалось извлечь. Проверьте, может рюкзак наполнен"
3679,"Совет: Яйца новых существ можно найти в ""рюкзак - редактировать"""
3680,Выберите модель снаряда
3681,Модель снаряда
3682,Выберите модель снаряда
3683,Использование цели
3684,Описание использования цели
3685,Общее использование
3686,Использовать лук
3687,Использовать снаряд
3688,Отправлен на склад
3689,0
3690,0
3691,0
3692,0
3693,0
3694,ОК
3695,Обновление данных сохранения...
3696,Обновление данных завершено. Перезапустите игру
3697,Идет расшаривание карты. Невозможно создать резервную копию прямо сейчас
3698,Модель карты
3699,Версия слишком устарела
3700,0
3701,0
3702,Требовать
3703,Недоступно для получения
3704,0
3705,0
3706,0
3707,0
3708,Заявить все
3709,0
3710,Получить
3711,0
3712,0
3713,0
3714,0
3715,0
3716,"Полученный предмет можно извлечь, открыв в сохранении ""магазин -> склад"""
3717,Успешно получено. Просмотрите на складе
3718,Не удалось получить. Повторите попытку позже
3719,"Советы по безопасности мобильных телефонов: Конфликтует с измененным программным обеспечением мобильного телефона, не может быть запущен"
3720,Получено
3721,Форум
3722,"Система обнаружила установленный модификатор @1. Это может повлиять на нормальную работу игры. Пожалуйста, удалите модификатор и войдите снова"
3723,Сохранения игрока
3724,"Обнаружен взлом【@1】. Пожалуйста, прекратите взлом и перезапустите игру, в противном случае, Ваш аккаунт будет заблокирован навсегда!"
3725,Описание модели
3726,"#cef2d2d Задержите левую кнопку мыши #n на кристалле, чтобы разбить его."
3727,Подойдите к кристаллу и поднимите его
3728,Выберите мешок песка
3729,Количество предметов превысило верхний предел. Удалите некоторые и повторите попытку
3730,Удалено успешно. Будет применено после повторного входа в сохранение
3731,Обычный бэкап
3732,Онлайн бэкап
3733,Бэкап онлайн сохранения
3734,Может использоваться для восстановления поврежденных сохранений.
3735,Есть только один слот. Предыдущий бэкап будет перезаписан напрямую.
3736,"Сейчас комната находится в свободном режиме. Пожалуйста, нажмите кнопку ОК, чтобы автоматически создать бэкап изображения на случай повреждения"
3737,Модельный рабочий стол доступен только в режиме творчества и режиме редактирования
3738,Миниатюрное управление недоступно в многопользовательском режиме или в сохранениях других людей
3739,Добавить папку
3740,"Не удалось войти. Проверьте интернет-соединение, аккаунт или пароль!"
3741,Привязать к аккаунту 4399
3742,Преимущества привязки к аккаунту 4399:#r Можно войти в игру на ПК с помощью привязанного UID #cef2d2d#r аккаунта 4399:@1 привязан к UID:@2#n#r Примечание: В данный момент не поддерживается отвязка
3743,Безопаснее и эффективнее. В будущем Вы можете использовать аккаунт 4399 для восстановления UID #r#r аккаунт 4399:#cef2d2d@1 #n будет привязан к UID :#cef2d2d@2#n#B #r Примечание:В данный момент не поддерживается отвязка. Не забудьте подтвердить информацию об аккаунте
3744,Этот аккаунт 4399 был привязан к UID
3745,Магазин
3746,Сообщество
3747,Гильдия
3748,Справка для онлайн-лобби
3749,Хотспот соединение#rВы можете поиграть с друзьями по локальной сети или с помощью функции Хотспот в мобильном телефоне#r#rСоединение Wi-Fi #r Вы можете подключиться к большему количеству людей онлайн в любое время и в любом месте!
3750,Переключить аккаунт 4399
3751,К этому UID был привязан аккаунт 4399
3752,Таймаут. Проверьте соединение
3753,Удалить
3754,Создать новый предмет
3755,Инструмент
3756,Оружие
3757,Пища
3758,Нет выбираемых
3759,Выберите модель предмета
3760,Сохранить и вернуться
3761,Возобновить
3762,Выйти из обучения
3763,"Вы уверены, что хотите выйти из обучения?"
3764,"Если хотите узнать больше, нажмите Продолжить"
3765,Недоступно
3766,Вы ищете себя!
3767,Одиночная игра
3768,Мультиплеер
3769,Теплые советы
3770,В настоящее время у Вас нет сохраненной карты \n.
3771,Создать карту
3772,Следующий шаг
3773,"[Начать игру] Есть несколько различных режимов (Выживание/Творчество/ Пользовательский), из которых Вы можете выбрать. Вы можете сохранять свои карты здесь"
3774,[Онлайн-лобби] Вы можете играть с друзьями через WIFI!
3775,"[Мастерская] Здесь демонстрируются шедевры игроков, и Вы также можете загрузить свои"
3776,"[Мой Дом] Заходите каждый день, чтобы получать предметы и маунты"
3777,Завершить
3778,Играйте вместе с друзьями в локальной сети
3779,Присоединяйся к другим игрокам онлайн
3780,Переключение режима
3781,Текущий режим: @1
3782,Умеренное развлечение и рациональная покупка
3783,"Вы уверены, что хотите потратить 288 Мини бобов, чтобы золотой плод созрел?"
3784,"Нажмите кнопку ниже, чтобы продолжить"
3785,Не удалось включить микрофон (@1)
3786,Не удалось выключить микрофон (@1)
3787,Не удалось включить динамик (@1)
3788,Не удалось выключить динамик (@1)
3789,Микрофон вкл.
3790,Микрофон выкл.
3791,Динамик вкл.
3792,Динамик выкл.
3793,"Нажмите [кнопку, чтобы включить микрофон. Используйте,] чтобы выключить его"
3794,Общение в реальном времени
3795,Создать многопользовательскую комнату
3796,"Теплые советы от Мини капитана: Здоровое развлечение, рациональная покупка."
3797,"Теплые советы от Мини капитана: Здоровое развлечение, рациональная покупка. #R Если Вы несовершеннолетний, получите согласие Вашего опекуна перед покупкой."
3798,Выбрать все
3799,"Выберите папку, в которую Вы хотите переместить"
3800,"Вернуть фрагменты, @1×@2"
3801,Использовать #c0aaa1a@1×@2#n для разблокировки #cfa7a0f@3#n?
3802,Купить
3803,"Вы уверены, что хотите использовать #c0aaa1a@1×@2#n для улучшения #cfa7a0f@3#n?"
3804,Подтвердить улучшение
3805,Вы возвращаете фрагмент #c0aaa1a@1#n! Подтвердите
3806,Геймплей
3807,Редактировать
3808,Внимание:\n1. Карты с загруженными плагинами пока не поддерживают загрузку и создание комнаты.\n2. Функции редактирования плагинов и загрузки будут запущены в следующем обновлении. Оставайтесь с нами!
3809,Карту с загруженными плагинами пока нельзя загрузить
3810,Карта с загруженными плагинами пока не поддерживает создание комнат
3811,Ваш друг @1 находится в сети
3812,Ваш друг @1 не находится в сети
3813,Говорите дольше
3814,Голосовое сообщение
3815,Мини галерея
3816,Избранное
3817,Игроки
3818,Поиск
3819,Категория:
3820,Все
3821,Сортировать:
3822,Новейший
3823,#RЖивотные маунты: Вы можете кататься на милых животных и путешествовать по миру!
3824,"#RОпасный мир: Вторжение зомби. (Говорят, что здесь дикари любят малахит)"
3825,"#RМультяшные текстуры: Пока не выпущено, отмените опцию"
3826,"#RПеревернутый мир: Животные очень свирепые, а дикари дружелюбные"
3827,#RАтака монстров: Добро пожаловать в мир гигантских существ!
3828,"Скоро выйдет, оставайтесь с нами"
3829,Вечеринка по случаю дня рождения Мини Мира
3830,"Советы: Нажмите ESC, чтобы открыть настройки. Нажмите F1, чтобы показать горячии клавиши"
3831,Этот пользователь не делился никакой картой
3832,Справка по Мастерской
3833,"1. Сохранение карты перенесено в Мастерскую! Быстрее скорость загрузки и скачивания и больше контента!
2. Отныне, делясь и загружая карты, вы можете автоматически входить в зону игроков Мастерской, и тысячи Мини-игроков смогут видеть Ваши работы! Вы также можете наслаждаться быстрой скоростью скачивания!
3. Вы можете найти скаченные карты в Мастерской, выполнив поиск
4. Карты, которыми делились игроки, достигнув определенной популярности, автоматически попадут в зону аудиторской оценки, где они будут просматриваться другими игроками.Они могут стать выбором игроков и стать еще более популярными!"
3834,"1. Сохранения карты перенесено в Мастерскую! Быстрее скорость загрузки и скачивания и больше контента!
2. Отныне, делясь и загружая карты, вы можете автоматически входить в зону игроков Мастерской, и тысячи Мини-игроков смогут видеть Ваши работы! Вы также можете наслаждаться быстрой скоростью скачивания!
3. Вы можете найти скаченные карты в Мастерской, выполнив поиск
4. Карты, которыми делились игроки, достигнув определенной популярности, автоматически попадут в зону аудиторской оценки, где они будут просматриваться другими игроками.Они могут стать выбором игроков и стать еще более популярными!"
3835,"Я подробно прочитал подробно и согласен с #L#cfa7a0f «Игра лицензия и соглашение о обслуживании» #n, #L#cfa7a0f Политика конфиденциальности #n, #L#cfa7a0f Молодежная политика конфиденциальности #N"
3836,@Null@
3837,Прочтите соглашение ниже и сначала поставьте галочку.
3838,Правила загрузки
3839,Советы: Нажмите ESC или ` для возврата в режим прицела
3840,Пауза
3841,дес. тыс.
3842,Популярность
3843,Избранное
3844,Новейший
3845,Скачивания
3846,Горячая тема
3847,Рейтинг
3848,Случайный
3849,Обновить
3850,Карта удалена автором
3851,Не удалось скачать карту
3852,По умолчанию
3853,Обновить
3854,"Нажмите или проведите пальцем вверх, чтобы увидеть больше карт"
3855,Избранное
3856,Удалить из избранного
3857,Удалить из избранного
3858,Избранное
3859,Главная
3860,"Если Вам нравится эта карта, напишите о ней отзыв!"
3861,Оценить
3862,Выйти
3863,Загруженный
3864,Общий
3865,Не удалось использовать. Проверьте интернет-соединение
3866,#L#cfa7a0fЛицензионное соглашение и соглашение об обслуживании
3867,"Поиграйте еще немного, прежде чем писать комментарии"
3868,#L#cfa7a0fПолитика конфиденциальности
3869,Ваши комментарии помогут автору улучшить карту
3870,Аудиторская оценка
3871,Тема
3872,Избранное
3873,Празднование Годовщины\n В Продаже
3874,Больше тем
3875,"Внимание: Карты, которыми Вы поделились, будут загружену в зону игрока Мастерской"
3876,Сортировать по
3877,Сортировать
3878,"Скоро выйдет, оставайтесь с нами"
3879,Талант персонажа достиг максимальноего уровня
3880,Этот персонаж уже разблокирован
3881,Этот скин снят с продажи
3882,"У Вас уже есть данный скин (постоянный), не нужно покупать заново"
3883,Срок действия этого скина истек. Необходимо продление оплаты
3884,Предмет уже разблокирован
3885,Ваш рюкзак полон
3886,"Вы не разблокировали этого персонажа. Можете разблокировать в ""Главная - Мой Дом - Архив"". Фрагменты можно получить Дома или в событиях."
3887,Вы создали персонаж
3888,Введите название папки
3889,Успешное перемещение модели
3890,Успешно добавлено в избранное
3891,Удалено из избранного
3892,Не удалось добавить в избранное
3893,Действие не удалось. Ошибка сети
3894,"Больше нет нового контента, обновите"
3895,Показать мышь
3896,Клавиши
3897,Открыть рюкзак
3898,"Нажмите правую кнопку мыши, чтобы удалить сохранение"
3899,Настройки будут применены после перезагрузки карты. Перезагрузить сейчас?
3900,Редактировать
3901,Выбор плагина (версия раннего доступа)
3902,Животные маунты
3903,Опасный мир
3904,Мультяшные текстуры
3905,Перевернутый Мир
3906,Атака Монстра
3907,Зафиксируйте направление N
3908,Поворотное направление
3909,Поворотный персонаж
3910,Перемещать файлы
3911,"Следующие файлы уже существуют в других папках. После подтверждения, они будут перемещены в целевую папку #cfa7a0f@1#n"
3912,#c0aaa1a@1#nсуществующий#cfa7a0f@2#n
3913,Папка по умолчанию не может быть изменена
3914,Выберите модели для перемещения.
3915,Выберите модели для удаления
3916,"Вы уверены, что хотите удалить папки?"
3917,Плагин
3918,Справка по библиотеке плагинов
3919,Создать новый плагин
3920,Выберите плагин
3921,Выбрано
3922,Загрузить
3923,Библиотека плагинов - #cfffde9Редактирование плагина#n
3924,Нажмите для замены
3925,Введите название плагина
3926,Введите описание плагина
3927,Открыть редактирование
3928,Разрешить только индивидуальную загрузку
3929,Информация о плагине
3930,Все
3931,Блоки
3932,Существо
3933,Предмет
3934,Сохранить
3935,Подтвердить создание
3936,Введите название плагина
3937,Ваш плагин не сохранен. Выйти?
3938,Создайте сначала плагин
3939,Введите название
3940,Успешно сохранено
3941,Не удалось сохранить
3942,"Нажмите здесь, чтобы создать новый плагин"
3943,Удаление папки приведет к перемещению модельного файла в папку по умолчанию
3944,Доступно только для хоста
3945,Доступно только в одиночном режиме
3946,Имя папки уже существует
3947,Ресурсный центр
3948,Модельный файл не добавлен
3949,Введите название папки
3950,"Вы хотите потратить 2880 Мини бобов, чтобы купить 10 золотых плодов?"
3951,Не напоминать
3952,Изменить
3953,Новый блок
3954,Создать/Изменить
3955,Оригинал @1
3956,Новый @1
3957,"Нажмите на название опции, чтобы узнать больше"
3958,Создать
3959,Нажмите для ввода описания
3960,Выберите @1
3961,Общий
3962,Цвет
3963,Другие
3964,Звери
3965,Монстры
3966,Другие
3967,Удалить
3968,Создать существо
3969,Выйти из удаления
3970,Нет плагинов для удаления
3971,"Выберите плагин, чтобы попробовать!"
3972,Нужно #cfa7a0f@1#n видов материалов
3973,Изменить @1
3974,Автоматически синтезировать при создании
3975,Возобновить
3976,Обучение
3977,Тестовый сервер
3978,Миниатюрный блок
3979,"Для лучшего опыта поддержка системы XP была приостановлена. Пожалуйста, обновите вашу систему и повторите попытку"
3980,"#cfa7a0fЧто такое пакет плагинов:#n
Пакет плагинов - это сборник различных плагинов. 

Как использовать: 
При создании новой карты выберите Плагин→выберите пакет плагинов→нажмите кнопку +, чтобы выбрать пакет плагинов справа. Войдите в игру, все изменения в пакете плагинов будут загружены и применены!"
3981,"#cfa7a0fКак редактировать плагин?#n
1. Войдите в библиотеку плагинов, нажмите Редактировать 
2. Выберите блок или существо и создайте новый предмет модификации (пока можно модифицировать только изначальные предметы игры)
3. Измените название или конфигурации атрибутов модифицированного предмета. 
4. Сохранитесь и вернитесь в главный интерфейс игры. Перейдите в раздел Создание нового мира для выбора плагина"
