id,法语
3602,Venez rejoindre le monde de MiniWorld ! Nous avons besoin de vous !
3603,MiniWorld - Créez votre propre monde
3604,Venez rejoindre le monde de MiniWorld ! Nous avons besoin de vous !
3605,Maman m’a demandé pourquoi je joue à un jeu en étant à genoux. Je vous conseille @MiniWorld
3606,Bouger en avant
3607,Bouger en arrière
3608,Bouger à gauche
3609,Bouger à droite
3610,Utiliser des objets/Placer des cubes
3611,Attaquer/Creuser
3612,Se faufiler
3613,Se hâter
3614,Sauter
3615,Délaisser les objets sélectionnés
3616,Ouvrir/fermer le sac à dos
3617,Ouvrir/fermer la carte
3618,Ouvrir/fermer les succès
3619,Ouvrir le magasin
3620,Liste d’amis
3621,Propriétés de monture
3622,Organiser le sac à dos
3623,Liste des joueurs
3624,Voir les scores
3625,Voir le statut du rôle
3626,Paramètres du mode de jeu
3627,Bibliothèque miniature
3628,Instantané enregistré sous
3629,Tu veux sauver la perspective pour personnaliser la perspective?En mode de jeu après la carte sera utilisé par défaut dans la perspective de jeu personnalisé
3630,"Cette carte implique des violations, ne peut pas entrer dans la salle"
3631,"Cette carte implique des violations, ne peut pas fouiller la chambre"
3632,"Cette carte impliquée de violations, ne peut pas entrer en jeu"
3633,"Cette carte implique des violations, impossible d'ouvrir la salle multijoueur"
3634,"La carte est soupçonnée de violations, partage interdit"
3635,Violation
3636,"Cette carte implique des violations, ne peut pas vérifier les commentaires"
3637,"Les contenus inappropriés sont strictement interdits, tels que la violence"
3638,Conseils chaleureux du mini capitaine
3639,"Il est strictement interdit de créer et de partager de la pornographie, de la politique, de la violence et tout autre contenu connexe. Les auteurs d'infractions seront interdits et feront l'objet d'une enquête pour responsabilité juridique."
3640,Sélectionner un modèle
3641,Échec de connexion au serveur
3642,Entrez nom
3643,Veuillez sélectionner un modèle
3644,En train de quitter
3645,Compétence
3646,Trait
3647,Chang.
3648,Taille
3649,Vitesse
3650,Délaisser
3651,Obj. délaiss.
3652,EXP goutte étoile
3653,Tuez pour réaliser un score
3654,Sélectionnez un modèle
3655,Attaque automatiquement
3656,Groupe
3657,Score
3658,Sélectionnez un modèle
3659,Sélectionnez un objet
3660,Mobile
3661,Rayon d’ATQ
3662,Veuillez sélectionner un modèle
3663,Par défaut
3664,1. Équipe rouge
3665,2. Équipe bleue
3666,Hostile envers le propriétaire
3667,Amical envers le propriétaire
3668,Attaque automatiquement
3669,Bibl. compét.
3670,Bibl. de dégâts
3671,Bibl. d’étourdissement
3672,Bibl. spéciale
3673,Œuf de créature
3674,Traits
3675,Impossible de rejoindre la salle vocale (@1)
3676,Vous êtes entré dans une salle vocale
3677,Retour
3678,Échec d’extraction. Veuillez vérifier si le sac à dos est rempli
3679,Astuce : les œufs des nouvelles créatures peuvent être trouvés dans « Sac à dos - Modifier »
3680,Sélectionner un modèle de projectile
3681,Modèle de projectile
3682,Veuillez sélectionner un modèle de projectile
3683,Cible utilisée
3684,Description de la cible
3685,Utilisation générale
3686,Utiliser l’arc
3687,Utiliser des projectiles
3688,Stocké dans le Pack
3689,@Null@
3690,@Null@
3691,@Null@
3692,@Null@
3693,@Null@
3694,Confirmer
3695,Mise à jour des données de l’archive…
3696,Données mises à jour. Veuillez redémarrer le jeu
3697,"Partage de carte, ne peut pas sauvegarder pour le moment"
3698,Blocs miniatures
3699,Version trop basse
3700,"Blue Diamond Nobles Profitez #CEF2D2D8 #N réductions, divers privilèges et divers forfaits-cadeaux!"
3701,"Pour plus de privilèges de diamants bleu, veuillez suivre #L #CFA7A0F Blue Diamond Officiel Site Web #N"
3702,Réclamer
3703,Ne peut pas être réclamé
3704,Blue Diamond Noble Privilège
3705,Blue Diamond noble paquet quotidien
3706,Extra Blue Diamond Deluxe Edition
3707,Frais annuels Blue Diamond Nobles Obtenez un supplément
3708,Collecter un clic
3709,Blue Diamond noble novice cadeau cadeau
3710,Recevoir
3711,Les utilisateurs de diamants bleus peuvent profiter des privilèges suivants:
3712,1. Pack de démarrage en diamant bleu
3713,2. Pack quotidien de diamant bleu
3714,3. Profitez de 20% de rabais de recharge
3715,4. Logo exclusif pour les diamants bleus
3716,Retirez les accessoires nécessaires en ouvrant le Marché -> Pack dans l’archive
3717,Bien reçu. Jetez un œil au Pack
3718,Échec de réception. Veuillez réessayer plus tard
3719,"Astuces de gestion de la sécurité du téléphone mobile :
Impossible de lancer à cause de conflits avec les logiciels de modification sur le téléphone mobile"
3720,Reçu
3721,BBS
3722,Le système a détecté que le modificateur « @1 » est installé. Il peut affecter le fonctionnement normal du jeu. Veuillez supprimer le modificateur et entrer de nouv.
3723,Archives du joueur
3724,"Hack détecté 【@1】, s’il vous plaît arrêter le jeu de piratage et de relance, ou votre compte peut être enlevé par ET!"
3725,Description de la miniature
3726,#cef2d2dClic gauche#n le bloc Celesthium pour le casser.
3727,Déplacer vers le bloc Celesthium pour le ramasser
3728,Choisissez un sac de terre sablonneuse
3729,Max articles. Veuillez supprimer et réessayer.
3730,"Supprimé, veuillez ré-entrer dans l'archive"
3731,Sauvegarde normale
3732,Sauvegarde en ligne
3733,Sauvegarde d’archives en ligne
3734,Peut être utilisé pour restaurer des archives qui sont cassées.
3735,Il n’y a qu’un seul emplacement. La sauvegarde précédente sera écrasée directement.
3736,La pièce est en mode libre maintenant. S’il vous plaît appuyez sur le bouton Confirmer pour sauvegarder automatiquement le graphique contre les dommages.
3737,Miniature Workbench disponible uniquement en mode création et en mode développement.
3738,Gestion miniature non disponible en mode multijoueur ou dans les archives d’autres personnes.
3739,Ajouter le dossier
3740,Échec de connexion. Veuillez vérifier le réseau. Numéro de compte ou mot de passe !
3741,@Null@
3742,@Null@
3743,@Null@
3744,@Null@
3745,Mag.
3746,Tribu
3747,Guilde
3748,Aide
3749,"Connexion de hotspot#rVous pouvez jouer avec d’autres personnes en LAN ou avec des hotspots de téléphone mobile #r#rConnexion Wi-Fi#rVous pouvez vous connecter à plus de gens en ligne, à tout moment, partout !"
3750,@Null@
3751,@Null@
3752,Délai écoulé. Veuillez vérifier la connexion Internet
3753,Supprimer
3754,Créer un nouvel objet
3755,Outils
3756,Arme
3757,Nourriture
3758,Non sélectionnable
3759,Sélectionnez un modèle d’objet
3760,Enreg.
3761,Continuer
3762,Quitter le guide
3763,Voulez-vous vraiment quitter le guide de novice ?
3764,Si vous voulez apprendre davantage. Veuillez cliquer sur « continuer »
3765,Indisponible
3766,Vous êtes à la recherche de vous même
3767,Solo
3768,Multijoueur
3769,Astuces
3770,Vous ne possédez pas\n de carte archivée.
3771,Créer carte
3772,Prochaine étape
3773,Il y a plusieurs modes différents (Survie/Création/Personnalisé) parmi lesquels vous pouvez choisir. Vous pouvez enregistrer vos cartes ici.
3774,Vous pouvez jouer avec vos amis via le réseau !
3775,[Galerie] Les chefs-d’œuvres des joueurs sont affichés ici et vous pouvez transférer les vôtres
3776,Connectez-vous tous les jours pour obtenir des accessoires et des montures !
3777,Terminer
3778,Jouez en WLAN avec vos amis
3779,Connectez-vous à d’autres joueurs en ligne
3780,Chang. Mode
3781,Mode actuel
3782,@Null@
3783,Voulez-vous vraiment dépenser 288 mini-haricots pour faire murir un fruit doré ?
3784,Vos yeux ont quitté le MiniWorld. Touchez le bouton ci-dessous pour revenir au jeu.
3785,Échec d’ouverture du microphone
3786,Échec de fermeture du microphone
3787,Échec d’ouverture du haut-parleur
3788,Échec de fermeture du haut-parleur
3789,Microphone ouvert
3790,Microphone fermé
3791,Haut-parleur ouvert
3792,Haut-parleur fermé
3793,Appuyez sur [ button to open mic. ] pour fermer
3794,Communication en temps réel
3795,Accueillir
3796,@Null@
3797,@Null@
3798,Tout sélectionner
3799,Sélectionnez le dossier que vous souhaitez déplacer
3800,"Récupérer débris, @1×@2 "
3801,Voulez-vous vraiment #c0aaa1a@1×@2#n pour débloquer #cfa7a0f@3#n ?
3802,Acheter
3803,Voulez-vous vraiment #c0aaa1a@1×@2#n pour améliorer #cfa7a0f@3#n ?
3804,améliorer
3805,Vous allez recycler #c0aaa1a@1 fragment#n ! Veuillez confirmer
3806,Choix de partie
3807,Modifier
3808,Remarque : \n1. Vous ne pouvez pas transférer et ouvrir la salle sur la carte chargée avec le plugin pour le moment\n2. Les fonctions de transfert et d’édition de plugins seront lancées dans les prochaines versions. À venir bientôt !
3809,Une carte chargée avec un plugin n’est pas autorisée à transférer pour le moment
3810,Une carte chargée avec un plugin n’est pas autorisée à ouvrir une salle pour le moment
3811,Votre ami @1 est actuellement en ligne
3812,Votre ami @1 est actuellement hors-ligne
3813,Parlez plus longtemps
3814,Son
3815,Création
3816,Fonct.
3817,Joueurs
3818,Joueurs
3819,Filtrer
3820,Tout
3821,Trier
3822,Actualités
3823,#RMontures animales : vous pouvez parcourir le monde au dos de créatures magnifiques !
3824,#RMonde dangereux : les zombies viennent. (On dit que les sauvages vivant ici aiment la malachite)
3825,#RTexture de dessin animé : ne lancez pas pour l’instant. Vous devez décocher l’option.
3826,#RMonde à l’inverse : les animaux sont féroces tandis que les sauvages sont très gentils.
3827,#RMonstres aggressifs : bienvenue au monde des créatures géantes !
3828,À venir bientôt
3829,1er anniversaire de MiniWorld
3830,"Astuces: Appuyez sur ÉCHAP pour afficher les paramètres, appuyez sur F1 pour afficher les raccourcis clavier"
3831,L’auteur n’a pas encore partagé la carte
3832,Aide
3833,"1. Le téléchargement des archives a été déplacé vers la galerie ! Contenu plus riche ! Transfert et téléchargement plus rapides !
2. À partir de maintenant, vous pouvez entrer automatiquement dans la zone de joueur de la galerie en partageant et transférant des cartes. De milliers de joueurs de MiniWorld peuvent voir vos œuvres ! Vous pouvez aussi profiter de téléchargements haute vitesse !
3. Les cartes transférées peuvent aussi être rechargées dans la galerie
4. Après avoir atteint un certain degré de popularité, les cartes partagées par les joueurs entreront automatiquement dans la zone de juge adjoint pour être examinées par les autres joueurs et deviendront des archives sélectionnées après avoir atteint un autre degré de popularité !"
3834,1. Vous pouvez obtenir plus de didacticiels de novice créés par les joueurs dans la galerie. \n2. Faites glisser l’archive à gauche pour partager la carte dans la zone de joueur de la galerie pour affichage. \n3. Sélectionnez votre carte préférée à télécharger !
3835,"J'ai lu en détail et accepté de #L#cfa7a0f ""Contrat de licence de jeu et de service"" #n, #L#cfa7a0f Politique de confidentialité #n, #L#cfa7a0f Politique de confidentialité des jeunes #n"
3836,@Null@
3837,Veuillez d’abord lire l’accord ci-dessous et cocher la case.
3838,Accord du jeu
3839,Astuces: Appuyez sur ESC ou `retour au mode réticule
3840,Délai écoulé
3841,0k
3842,Popularité
3843,Fonct.
3844,Actualités
3845,Téléch.
3846,Sujets
3847,Note
3848,Aléatoire
3849,Actualiser
3850,La carte a été supprimée par l’auteur
3851,Échec de téléchargement de la carte
3852,Par défaut
3853,Rafraîchir
3854,Touchez ou tirez vers le haut pour plus de cartes
3855,Favori
3856,Retirer des favoris
3857,Retirer des favoris
3858,Favori
3859,Accueil
3860,Veuillez noter cette carte si vous l’aimez !
3861,Noter maintenant
3862,Quitter
3863,Téléch.
3864,La synthèse
3865,Échec d’utilisation. Vérifiez le réseau
3866,#L#cfa7a0fLicence du jeu et accord de service
3867,Veuillezjouer un peu plus avant d’écrire des commentaires
3868,#L #cfa7a0f Règles de confidentialité
3869,Vos commentaires aideront l’auteur à améliorer la carte
3870,Juge adjoint
3871,Sujet
3872,Favori
3873,Célébration d’anniversaire\n En solde
3874,Plus de sujets
3875,Note : les cartes partagées seront transférées vers la zone de joueur de la galerie
3876,Trier par
3877,Trier
3878,Durant la décoration. À venir bientôt
3879,Le talent du rôle est au max
3880,Ce personnage a été débloqué
3881,Ce skin n’est pas disponible
3882,Vous possédez ce skin à jamais et vous n’avez plus besoin de l’acheter
3883,Votre skin a expiré. Le renouvellement est nécessaire.
3884,L’accessoire a été débloqué
3885,Votre sac à dos est remplis
3886,Vous n’avez pas encore débloqué ce rôle
3887,Rôle créé
3888,Modifier le nom du dossier
3889,@Null@
3890,Ajout aux favoris réussi
3891,Retirer des favoris
3892,Échec d’ajout aux favoris
3893,Opération échouée. Erreur réseau
3894,Tirez vers le bas. Veuillez actualiser
3895,Afficher la souris
3896,Contrôles
3897,Paquet
3898,Appuyez sur botton sur la droite pour supprimer le monde
3899,"Tous les paramètres seront appliqués lors du rechargement de la carte, voulez-vous recharger?"
3900,Modifier
3901,Sélection de plugin (version préliminaire) :
3902,Montures animales
3903,Monde dangereux
3904,Texture de dessin animé
3905,Monde à l’inverse
3906,Monstres agressifs
3907,Direction fixée pour N
3908,"Direction rotative, joueur irrotationnable"
3909,"Direction irrotationnable, lecteur rotatif"
3910,Déplacer des fichiers
3911,"Les fichiers suivants existent déjà dans d'autres dossiers. Après confirmation, ils seront déplacés vers le dossier cible #cfa7a0f@1#n"
3912,#c0aaa1a@1#n #cfa7a0f@2#n
3913,Le dossier par défaut ne peut pas être modifié.
3914,Veuillez sélectionner les miniatures à déplacer.
3915,Veuillez sélectionner les miniatures à supprimer.
3916,Êtes-vous sûr de vouloir supprimer les dossiers?
3917,Bibl. de plugin
3918,Aide
3919,Créer un nouv. plugin
3920,Plugin
3921,Choix
3922,Transférer
3923,Bibl. de plugin - #cfffde9modification de plugin#n
3924,Cliquez pour remplacer
3925,Entrez le nom du plugin
3926,Entrez la description
3927,Ouvrez la modification
3928,N’autoriser que le chargement personnel
3929,Informations de plugin
3930,Tout
3931,Cubes
3932,Créature
3933,Acc.
3934,Enregistrer
3935,Confirmer la création
3936,Veuillez entrer le nom du plugin
3937,Plugin non encore sauvegardé. Voulez-vous vraiment quitter ?
3938,Veuillez d’abord créer un plugin.
3939,Entrez un nom
3940,Bien enregistré
3941,Échec d’enregistrement
3942,Touchez ici pour créer un nouv. plugin
3943,La suppression du dossier déplacera le fichier miniature dans le dossier par défaut.
3944,Disponible uniquement pour l'hôte
3945,Uniquement disponible en mode solo
3946,Le nom du dossier existe déjà.
3947,Centre de ressources
3948,Fichier miniature non ajouté
3949,S'il vous plaît entrer le nom du dossier
3950,Acheter 10 fruits dorés avec 2880 mini haricots pour une grande récolte ?
3951,Ne plus me rappeler
3952,éditer
3953,nouv. cube
3954,nouv./Modifier
3955,Original @1
3956,Nouveau @1
3957,Touchez les titres à droite pour voir les détails !
3958,Créer
3959,Touchez pour entrer la description
3960,Sélectionnez un @1
3961,Général
3962,Couleur
3963,Autres
3964,Animaux
3965,Monstres
3966,Autres
3967,Supprimer
3968,Nouvelle créature
3969,Quitter la suppression
3970,Aucun plugin ne peut être supprimé
3971,Sélectionnez un plugin pour faire un essai !
3972,#cfa7a0f@1#n types de matériaux requis
3973,Modifier @1
3974,Composé automatiquement lors de la création
3975,Continuer
3976,Didacticiel
3977,TestServer
3978,Bloc miniature
3979,Le support du système XP a été suspendu. Renouvelez votre système.
3980,"#cfa7a0fQu’est-ce qu’un pack de plugins :#nLe pack de plugins est un pack intégrant plusieurs plugins. 

Comment l’utiliser : 
Lorsque vous créez la nouvelle carte, sélectionnez Plugin -> sélectionnez Pack de plugins -> Touchez le bouton « + » pour sélectionner le pack de plugins à droite et entrez dans le jeu. Par la suite, toutes les interfaces du pack de plugins seront chargées et prendront effet !"
3981,"#cfa7a0fComment modifier les plugins ?#n
1. Accédez à la Bibl. de plugins et touchez Modifier. 
2. Sélectionnez un cube ou une créature et créez un nouvel objet de modification. (Pour l’instant, vous ne pouvez modifier que les objets originaux du jeu)
3. Ajustez le nom ou les attributs de configuration de l’objet modifié.
4. Enregistrez et revenez à l’interface principale du jeu et allez à Créer un nouv. monde pour sélectionner le plugin."
3982,"#cfa7a0fComment charger les plugins ?#n
1. Sélectionnez le plugin à charger sur le côté gauche et touchez le bouton « + ». 
2. Touchez OK pour revenir à la création des règles de carte et touchez Commencer à jouer. Par la suite, la carte créée aura l’effet de plugin."
3983,Aide
3984,Plugin bien créé. Vous pouvez commencer à modifier maintenant !
3985,Veuillez sélectionner une photo de taille < 1Mo
3986,Graphique d’affichage
3987,La fonction de graphique d’affichage personnalisé sera ajoutée dans les versions ultérieures. À venir bientôt !
3988,Ouvrir l’option de modification
3989,Ouvrir l’instruction de modification
3990,Modification de @1 créée
3991,Voulez-vous vraiment supprimer ce plugin ?
3992,Bien supprimé
3993,Annexe
3994,La fonction d’annexe personnalisé sera ajoutée dans les versions ultérieures. À venir bientôt !
3995,La fonction n’est pas encore disponible. Une nouvelle version sera disponible
3996,Veuillez toucher le bouton nouv. pour créer un nouv. plugin !
3997,Une nouvelle fonction de modification de plugin est en cours de développement. Touchez ici pour l’essayer
3998,Voici des informations d’aide liées aux packs de plugins !
3999,Le plugin que vous avez créé sera certainement très amusant après avoir lu l’aide !
4000,Sauvegarder
4001,Sauvegarder
4002,Supprimer
4003,Restaurer
4004,Rappel :
4005,Mettre à jour le client du jeu ou lancer le jeu après une sauvegarde peut réduire le risque\nd’archive endommagée
4006,Le chargement de plugins peut endommager l’archive. \nSauvegardez-la pour la restaurer si elle se fait endommager.
4007,N’oubliez pas de sauvegarder !
4008,Confirmez pour restaurer
4009,La progression actuelle de l’archive sera écrasée par la sauvegarde « @1 »
4010,Continuer ?
4011,La progression actuelle sera perdue
4012,Confirmer
4013,Annuler
4014,Voulez-vous vraiment supprimer cette sauvegarde ?
4015,(Impossible de la récupérer une fois supprimée !)
4016,Sauvegarde réussie
4017,Échec de sauvegarde
4018,Restauration réussie
4019,Échec de restauration
4020,Vous ne pouvez créer que 3 sauvegardes aux maximum. Veuillez en supprimer une et sauvegarder de nouv.
4021,Touchez pour entrer un nom de sauvegarde
4022,Astuces
4023,Créer une sauvegarde
4024,Charger directement
4025,Sauvegarder et continuer
4026,Sauvegarde en cours
4027,Restauration…
4028,Veuillez passer à la dernière version du client
4029,(Non sauvegardé)
4030,Sauvegardé
4031,Sauvegardes de carte
4032,L’archive peut être sauvegardée. Ouvrez et vérifiez !
4033,Touche pour ouvrir le gestionnaire des sauvegardes des archives
4034,Impossible d’entrer dans la salle (@1)
4035,Voulez-vous vraiment supprimer le courrier ?
4036,"Sauvegardez-le avant de créer une pièce, une sauvegarde en ligne au maximum,  une nouvelle sauvegarde écrasera l’ancienne."
4037,Activité a expiré
4038,Cette zone est en cours de décoration. Bientôt ouverte
4039,Téléch.
4040,Populaire aujourd’hui
4041,Les utilisateurs de diamants jaunes peuvent profiter des privilèges suivants:
4042,"Numéro d'article exclusif aristocratique de diamant jaune #CEF2D2D8 #N remise, divers privilèges, divers forfaits-cadeaux!"
4043,"Pour plus de privilèges de diamants jaunes, veuillez suivre #L #CFA7A0F Jaune Diamond officiel #N"
4044,Privilèges nobles de diamants jaunes
4045,Pack quotidien de diamant diamant jaune
4046,Jaune Diamond Deluxe Edition Extra Get
4047,Frais annuels Yellow Diamond Nobles Obtenez-vous
4048,Jaune Diamond noble novice cadeau cadeau
4049,Pack-cadeau de diamant jaune
4050,1. Pack novice de diamant jaune
4051,2. Pack quotidien de diamant jaune
4052,3. Profitez de 20% de rabais de recharge
4053,4. Logo exclusif pour les diamants jaunes
4054,Graphique d’affichage :
4055,Nom du plugin :
4056,Description du plugin
4057,Le plugin
4058,Pack de plugins
4059,Confirmer
4060,Pack de plugins
4061,Bibl. de plugin
4062,N’oubliez pas d’ajouter
4063,Modification de plugin
4064,Bibl. de plugin
4065,Plugin
4066,Ajouter des plugins
4067,Bibl. de plugin
4068,"Comment modifier un pack de plugins :
1. Ajoutez le plugin à utiliser.
2. Renommez la pack de plugins et changez la description.
3. Revenez à la création de carte ou accédez à l’interface de plugins de carte pour l’utiliser"
4069,"Qu’est-ce qu’un plugin ?
C’est un outil avec lequel vous pouvez changer les cubes/créatures/accessoires d’origine de la carte et ajouter du contenu personnalisé. Les plugins sont stockés dans la Bibl. de plugins sous la forme de cubes/créatures/accessoires.

Comment créer un plugin ?
Accédez à la Bibl. de plugins -> Cliquez sur le bouton Créer -> Enregistrer

Comment utiliser un plugin ?
Un plugin est seulement valide dans la carte dans laquelle il est chargé.
1. Sélectionnez les plugins lors de la création d’un nouv. monde pour que ceux-ci prennent effet.
2. Sélectionnez les plugins dans l’interface d’administration des plugins pour que ceux-ci prennent effet."
4070,"#cfa7a0fComment charger des plugins ?#n
1. Touchez Ajouter un plugin -> Sélectionnez le plugin à charger -> Confirmez pour ajouter -> Le plugin à charger est sélectionné.
2. Touchez OK pour confirmer et revenir à la création de nouv. monde.
3. Touchez Commencer à jouer, le plugin sélectionné sera chargé et prendra effet !"
4071,"#cfa7a0fComment charger des plugins ?#n
1. Touchez Ajouter un plugin -> Sélectionnez le plugin à charger -> Confirmez pour ajouter -> Le plugin à charger est sélectionné.
2. Touchez OK pour confirmer et revenir à la liste d’archives.
3. Entrez dans le jeu, le plugin sélectionné sera chargé et prendra effet !"
4072,"#cfa7a0fComment ajouter des plugins ?#n
1. Touchez pour cocher le O en haut à droite du plugin pour sélectionner le plugin que vous voulez ajouter.
2. Touchez OK pour ajouter le plugin sélectionné. 
3. Ensuite lancez le jeu pour vous vous amuser avec la carte modifiée"
4073,Soumettre
4074,Aucun
4075,J’ai lu et accepté #L#cfa7a0fl’accord utilisateur
4076,"Terms of Use for the Gallery

If you have any questions about, or if you wish to send us any notices in relation to, this Term of Use for the Gallery (hereinafter referred as “Agreement”), please contact us at miniwantech@gmail.com.

1. Acceptance of the Agreement 
Unless expressly defined otherwise this Agreement, all capitalized terms in this Agreement shall have the same meaning as defined in the Terms of Use and the Privacy Policy. 

You agree to be bound by the the Agreement, the Terms of Use, the Privacy Policy and any other agreements entered by you with Miniwan related to the software“Miniworld: Block Art” (Collectively referred as the “Terms”). Anything not agreed in this Agreement shall be executed as agreed in the Terms.

2. Intellectual Property
With the elements, tools, functions and other contents in or of our software “Miniworld: Block Art”, our Services may allow you to communicate, submit, upload or otherwise make available text, images, audio, video, competition entries or other content, which may be accessible and viewable by the public (“User modified Contents”). You may not submit or upload User modified Contents that is defamatory, harassing, threatening, bigoted, hateful, violent, vulgar, obscene, pornographic, or otherwise offensive or that harms or can reasonably be expected to harm any person or entity, whether or not such material is protected by law. 

Ownership of the Intellectual Property. The visual interfaces, graphics, design, compilation, information, data, computer code (including source code or object code), products, software, services, all other elements of the Service and the User modified Contents (-Intellectual Property- or -IP-) are protected by law. All IP contained in the Service is our property or third-party licensors’ property. Except as expressly authorized by us in these Terms, you may not make use of any IP contained in the Service. We reserve all rights to the IP not granted expressly in these Terms. 

You are solely responsible for the User modified Contents you have made and you represent and warrant that: (i)You have the necessary licenses, rights, consents, and permissions, to communicate, submit, upload or make the User modified Contents Representations; and (2) the User modified Contents, and the use of your User modified Contents, does not and will not: (i) infringe, violate, or misappropriate any third-party right, including any copyright, trademark, patent, trade secret, moral right, privacy right, right of publicity, or any other intellectual property or proprietary right; (ii) slander, defame, libel, or invade the right of privacy, publicity or other property rights of any other person; (iii) require Miniwan to obtain any further licenses from or pay royalties or compensation or other amounts or provide any attribution to any third parties; (iv) result in a breach of contract between you and a third party; or (v) cause us to violate any law or regulation. You agree to pay all monies owing to any person as a result of providing the User modified Contents. 

You agree to indemnify and hold us and our subsidiary and affiliated companies, and each of their respective employees and officers, harmless from any demands, loss, liability, claims or expenses (including attorneys' fees), made against us by any third party arising out of or in connection with our use and exploitation of the User Generated Content. You also agree not to enforce any moral rights, ancillary rights or similar rights in or to the User Generated Content against us or our licensees, distributors, agents, representatives and other authorized users, and agree to procure the same agreement not to enforce from others who may possess such rights. 

We have the right but not the obligation to monitor, screen, post, remove, modify, store and review User modified Content or communications sent through Service, at any time and for any reason, including to ensure that the User Modified Content or communication conforms to the Terms, without prior notice to you. We are not responsible for, and do not endorse or guarantee, the opinions, views, advice or recommendations posted or sent by users. 

3. MONITORING AND PROHIBITED ACTIVITIES
We have no obligation to monitor the User modified Content and we are not responsible for monitoring the Service for inappropriate or illegal Content or conduct by other players. However, we do reserve the right, in our sole discretion, to monitor and/or record your interactions with the Services and other players (including chat text and voice communications) when you are using the Services.

You agree not to engage in any of the following prohibited activities on or in relation to our services, or allow any person to use Your Account with us to do the same:
•        send any unsolicited, unauthorised spam (such as spam comments in our social media services), advertising or promotional messages, or any other commercial communications;
•        submit, upload, transmit or display, through our services, any content (whether displayed publicly or not, and whether displayed directly or indirect to any other users) which in fact or in our reasonable opinion:
o        breaches any laws or regulations (or may result in a breach of any laws or regulations when used in a manner permitted by this Terms of Use);
o        creates a risk of loss or damage to any person or property;
o        is fraudulent, false, misleading or deceptive;
o        harms or exploits any person (whether adult or minor) in any way, including via bullying, harassment or threats of violence;
o        is hateful, harassing, abusive, racially or ethnically offensive, defamatory, humiliating to other people (publicly or otherwise), threatening, profane or otherwise objectionable;
o        promotes or encourages self-harming;
o        infringes our rights or any third party’s rights, including any intellectual property rights, contractual rights, confidentiality rights or privacy rights;
o        is pornographic, sexually explicit, violent or otherwise of an indecent or offensive nature; or
o        encourages or is likely to encourage any of the above;
•        violate any applicable laws or regulations, including credit card fraud or bank account fraud;
•        engage in any illegal or potentially illegal (as determined by us) activities or transactions, including sale of any illicit drugs or money laundering;
•        gamble, provide gambling information or entice others to engage in gambling through any method;
•        use or exploit any of our intellectual property rights (including our trademarks, brand name, logo, any other of our proprietary information or the layout or design of any page), or otherwise infringe on any of our intellectual property rights (including attempting to reverse engineer any applications or software used to access our services);
•        access any of our services, collect or process any content made available through our services, send or redirect any communications through our services, in each case, through the use any automated bots, software, engines, crawlers, scrapers, data mining tools or the like, or attempt to do any of the foregoing, including using any automated means to artificially promote any content;
•        engage in any “framing”, “mirroring,” or other techniques directed at simulating the appearance or function of our services;
•        interfere with, or attempt to interfere with, any user’s or any other party’s access to our services;
•        intentionally distribute viruses, worms, Trojan horses, corrupted files or other malicious code or items;
•        share or publish any other person’s personally identifiable information using our services without their express consent;
•        probe or test the vulnerability of, or otherwise circumvent (or attempt to circumvent) any security features on, our services, our systems or the systems of other users;
•        create multiple accounts for disruptive or abusive purposes; or
•        engage in any other activity that encourages any person or entity to breach this Terms of Use.

4. Indemnity
You agree that you will be responsible for your use of the Service, and you agree to defend and indemnify us and our officers, directors, employees, consultants, affiliates, investors, business partners, subsidiaries and agents (together, the -Affiliated Parties-) from and against every claim, liability, damage, loss, and expense, including reasonable attorneys’ fees and costs, arising out of or in any way connected with: (a) your access to, use of, or alleged use of the Service; (b) your violation of any portion of these Terms, any representation, warranty, or agreement referenced in these Terms, or any applicable law or regulation; (c) your violation of any third-party right, including any intellectual property or proprietary right, publicity or privacy right, property right, or confidentiality obligation; or (d) any dispute or issue between you and any third party. We reserve the right, at our own expense, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you (without limiting your indemnification obligations with respect to that matter), and in that case, you agree to cooperate with our defense of that claim.

YOU AGREE TO INDEMNIFY US, OUR PARTNERS AND OUR AFFILIATE COMPANIES FROM AND AGAINST ANY CLAIM, SUIT, ACTION, DEMAND, DAMAGE, DEBT, LOSS, COST, EXPENSE (INCLUDING LITIGATION COSTS AND ATTORNEYS’ FEES) AND LIABILITY ARISING FROM: (I) YOUR USE OF OUR SERVICES OR SOFTWARE; OR (II) YOUR BREACH OF THIS TERMS OF USE."
4077,Touchez pour ajouter un plugin
4078,D’accord
4079,Bien ajouté
4080,Courrier
4081,Sélectionnez un courrier
4082,De la part de la Mini Autorité
4083,Recevoir
4084,Passer
4085,Connexion réseau instable. Veuillez réessayer plus tard
4086,Validité :
4087,d
4088,heures
4089,Échec de réception. Veuillez réessayer plus tard
4090,Recevoir des objets par courrier
4091,Reçu
4092,Encore aucun nouv. courrier
4093,nouv.
4094,Ajouter
4095,Redémarrez le jeu pour que le plugin fraichement créé prenne effet.
4096,Plugin sélectionné : @1 et pack de plugins : @2
4097,Confirmer
4098,Astuce : Touchez O pour sélectionner le plugin à charger.
4099,Plugin sélectionné : @1
4100,Pack de plugins sélectionné : @1
4101,Plugins chargés
4102,Entrer dans le jeu
4130,Outils
4131,Armes
