id,印尼语
3836,@Null@
3837,Silakan baca dan centang perjanjian dibawah terlebih dahulu
3838,Perjanjian game
3839,Tips : Tekan ESC atau balik ke mode croshair
3840,Timeout
3841,0k
3842,Populer
3843,Unggulan
3844,Terbaru
3845,Download
3846,Hot
3847,Rating
3848,Random
3849,Refresh
3850,Map sudah dihapus oleh creator
3851,Gagal download map
3852,Default
3853,Refresh
3854,Klik atau scroll keatas utk lebih banyak peta
3855,Favorit
3856,Batalkan
3857,Batalkan
3858,Favorit
3859,Home
3860,Beri nilai jika kamu suka map ini!
3861,Beri rating
3862,Keluar
3863,Download 
3864,Semua
3865,Pemakaian gagal. Periksa jaringan.
3866,#L#cfa7a0fPeraturan dan perjanjian game
3867,"Main lagi baru beri rating, masih banyak kejutan yg menanti loh!"
3868,#L#cfa7a0fPrivacy Policies
3869,Komentarmu dapat membantu kreator memperbaiki petanya
3870,Parajudge
3871,Tema
3872,Favorit
3873,Disko\n anniversary 
3874,Lebih banyak
3875,Catatan : Peta yg dishare akan muncul pada area pemain di Galeri
3876,Urutan :
3877,Jenis 
3878,Proses dekorasi. Coming soon.
3879,Skill karakter sudah sampai max
3880,"Karakter ini sudah terbuka
"
3881,Skin ini sudah off
3882,"Sudah dapat permanen, tidak perlu beli ulang
"
3883,Skin sudah expired. Perlu beli ulang.
3884,Alat sudah terbuka
3885,Tas-mu penuh
3886,Terkunci. Dapatkan shard dari event atau Kebun.
3887,Karakter baru tercipta
3888,Masukkan nama folder
3889,@Null@
3890,Telah tersimpan di favorite
3891,Hapus dari favorite
3892,Penambahan favorite gagal
3893,Tindakan gagal. Periksa jaringan.
3894,Tidak ada lagi. Silakan refresh
3895,Show mouse
3896,Kontrol
3897,Ransel
3898,Klik tombol setting sebelah kanan utk hapus
3899,Setting akan berlaku setelah reload peta. Reload sekarang?
3900,Edit
3901,Pilihan plugin (versi pre-emptive) :
3902,Tunggangan
3903,Dangerous World
3904,Tekstur kartun
3905,Reversed World
3906,Serang monster
3907,Kunci Panah N
3908,Panah N di kompas dapat berputar
3909,Panah pemain di kompas dapat berputar
3910,Pindahkan file
3911,"Terdapat file yang sama di folder lain. Setelah konfirmasi, file tersebut akan dipindahkan ke folder target #cfa7a0f@1#n"
3912,#c0aaa1a@1#n Terdapat di#cfa7a0f@2#n
3913,Folder default tidak dapat diubah
3914,Pilih model miniature yang ingin dipindahkan
3915,Pilih model miniature untuk dihapus
3916,Yakin utk menghapus folder ini?
3917,Galeri Plugin
3918,Bantuan
3919,Buat plugin baru
3920,Plugin
3921,Terpilih
3922,Upload
3923,Galeri Plugin - #cfffde9Edit plugin#n
3924,Klik utk ganti
3925,Masukkan nama plugin
3926,Tulis deskripsi
3927,Buka editing
3928,Hanya utk loading individual
3929,Info
3930,Semua
3931,Balok
3932,Makhluk
3933,Alat
3934,Simpan
3935,Buat sekarang
3936,Masukkan nama plugin
3937,Plugin belum dtersimpan. Yakin keluar?
3938,Buat plugin dulu yuk
3939,Masukkan nama  
3940,Data telah tersimpan
3941,Penyimpanan gagal
3942,Klik disini utk buat plugin baru
3943,Blok miniature akan kembali ke folder default jika kamu menghapus folder ini
3944,Hanya tersedia utk tuan rumah
3945,"Terdapat nama folder yang sama, silakan coba nama lain"
3946,Nama ini sudah terpakai
3947,Pusat Sumber Daya
3948,Folder miniature blm ditambahkan
3949,Tulis nama folder
3950,Yakin ingin membeli 10 buah emas menggunakan 2880 Mini Bean?
3951,Jangan ingatkan lagi
3952,Edit
3953,Balok baru
3954,Baru/Ubah
3955,Original @1
3956,New @1
3957,Klik di judul utk lihat info lebih
3958,Buat
3959,Klik utk tulis deskripsi
3960,Pilih @1 utk ubah
3961,Umum
3962,Warna
3963,Lainnya
3964,Hewan
3965,Monster
3966,Lainnya
3967,Hapus
3968,Makhluk baru
3969,Keluar
3970,Tidak ada plugin utk dihapus
3971,Pilih 1 plugin utk dicoba!
3972,Perlu #cfa7a0f@1#n jenis material
3973,Edit @1
3974,Otomatis gabung saat pembuatan
3975,Lanjut
3976,Tutorial
3977,Test Server
3978,Balok miniatur
3979,"Sistem XP telah diberhentikan, silakan upgrade dan coba lagi"
3980,"#cfa7a0fPlugin Pack:#n Gabungan dari berbagai jenis plugin. 

Cara Penggunaan: Saat buat map baru, klik Plugin → Pilih Plugin Pack → Klik tombol + untuk pilih plugin pack di sebelah kanan, kemudian masuk ke game. Semua plugin pack akan dimuat dan berfungsi."
3981,"#cfa7a0fBagaimana cara edit plugin?#n
1.Masuk ke Galeri Plugin dan klik edit.
2.Pilih blok atau makhluk, buat halaman modifikasi (sekarang hanya bisa ubah item awal pada game).
3. Sesuaikan nama atau konfigurasi properti item.
4.Simpan dan kembali ke lobby. Pilih plugin pada halaman kreasi."
3982,"#cfa7a0f Bagaimana utk load plugin? #n  1.Pilih plugin utk di load pada bagian kiri, dan klik tombol  + . 2. Klik OK utk kembali ke aturan peta, klik mulai. Peta akan ada efek plugin."
3983,Bantuan
3984,Plugin berhasil dibuat. Mulai edit sekarang!
3985,Pilih gambar yg <1M 
3986,Display Picture
3987,Nantikan! Sistem display picture akan hadir di versi selanjutnya. 
3988,Buka pilihan edit
3989,Instruksi chip
3990,Modifikasi @1 telah dibuat
3991,Yakin mau hapus plugin ini?
3992,Plugin telah dihapus
3993,Lampirkan foto
3994,Nantikan! Sistem lampir foto akan hadir di versi selanjutnya
3995,Sistem belum dibuka. Coming soon!
3996,Klik tombol buat utk buat plugin baru
3997,Sistem edit plugin sudah hadir! Klik sini utk masuk
3998,Klik di sini untuk informasi bantuan tentang Galeri Plugin!
3999,Lebih seru berkreasi setelah baca bantuan dan info ttg plugin
4000,Backup
4001,Backup
4002,Hapus
4003,Restore
4004,Catatan:
4005,"Update game-client atau buka room setelah backup, dapat mencegah kerusakan arsip"
4006,"Loading plugin mungkin dapat merusak arsip, \n backup dulu"
4007,Jangan lupa backup!
4008,Yakin restore
4009,Ganti arsip ini dengan backup @1
4010,Lanjut?
4011,(Kamu akan kehilangan proses ini)
4012,OK
4013,Batalkan
4014,Yakin hapus backup ini?
4015,(Tidak dapat kembali setelah hapus)
4016,Peta telah dibackup
4017,Backup gagal
4018,Restore berhasil
4019,Gagal restore
4020,Paling banyak punya 3 backup. Hapus 1 dan coba lagi.
4021,Klik untuk masukkan nama backup
4022,Tips
4023,Buat backup
4024,Langsung load
4025,Backup dan lanjut
4026,Memproses
4027,Memproses
4028,Silakan upgrade ke versi terbaru
4029,(Belum backup)
4030,Sudah backup
4031,Peta  backup
4032,Arsip sudah bisa di backup. Check dulu yuk!
4033,Klik utk buka managemen backup
4034,Tidak bisa masuk (@1)
4035,Yakin utk hapus pesan?
4036,"Backup sebelum buat room,  paling banyak bisa simpan di 1 online backup, otomatis menggantikan yg lama"
4037,Event telah berakhir
4038,Area ini masih dalam dekorasi. Segera dibuka!
4039,Download
4040,Hits hari ini
4041,@Null@
4042,@Null@
4043,@Null@
4044,@Null@
4045,@Null@
4046,@Null@
4047,@Null@
4048,@Null@
4049,@Null@
4050,@Null@
4051,@Null@
4052,@Null@
4053,@Null@
4054,Display picture :
4055,Nama Plugin:
4056,Deskripsi:
4057,Plugin
4058,Plugin Pack
4059,OK
4060,Plugin Pack
4061,Galeri Plugin
4062,Tambahkan
4063,Edit Plugin
4064,Galeri Plugin
4065,Pilih plugin  
4066,Tambahkan Plugin
4067,Galeri Plugin
4068,"Bagaimana cara edit plugin pack : 1.Tambahkan plugin yg diperlukan 2.Ganti nama plugin pack, ubah deskripsi  3. Pakai di halaman buat peta atau lobby plugin pack"
4069,"Apa itu plugin?
Plugin adalah alat yang bisa kamu pakai untuk mengubah balok/makhluk/item menjadi konten custom sesuai yang kamu inginkan. Galeri Plugin tersedia dengan bentuk balok/makhluk/item.

Cara Membuat Plugin:
Buka Galeri Plugin → Klik tombol Baru → Simpan

Cara Penggunaan:
1. Pilih plugin yang ingin pakai saat membuat map baru untuk membuat plugin.
2. Pilih plugin di menu plugin untuk memuat dan menggunakannya."
4070,"#cfa7a0f Cara load plugin? #n 1.Klik tambah plugin > pilih plugin utk load > yakin > plugin yg ingin ditambahkan sudah terpilih.  2.Klik yakin, balik ke list arsip.  3. Masuk ke game, pilih plugin. "
4071,"#cfa7a0f Cara load plugin? #n 1.Klik tambah plugin > pilih plugin utk load > yakin > plugin yg ingin ditambahkan sudah terpilih.  2.Klik yakin, balik ke list arsip.  3.Masuk ke game, pilih plugin. "
4072,"#cfa7a0f Cara tambah plugin? #n 1. Klik O pada pojok kanan atas pada plugin, pilih tambah plugin.  2. Klik yakin utk menambahkan plugin yg telah dipilih. 3.Buka game, mainkan "
4073,Submit
4074,Kosong
4075,Saya sudah baca dan setuju dgn perjanjian diatas #L#cfa7a0f
4076,"Terms of Use for the Gallery

If you have any questions about, or if you wish to send us any notices in relation to, this Term of Use for the Gallery (hereinafter referred as “Agreement”), please contact us at miniwantech@gmail.com.

1. Acceptance of the Agreement 
Unless expressly defined otherwise this Agreement, all capitalized terms in this Agreement shall have the same meaning as defined in the Terms of Use and the Privacy Policy. 

You agree to be bound by the the Agreement, the Terms of Use, the Privacy Policy and any other agreements entered by you with Miniwan related to the software“Miniworld: Block Art” (Collectively referred as the “Terms”). Anything not agreed in this Agreement shall be executed as agreed in the Terms.

2. Intellectual Property
With the elements, tools, functions and other contents in or of our software “Miniworld: Block Art”, our Services may allow you to communicate, submit, upload or otherwise make available text, images, audio, video, competition entries or other content, which may be accessible and viewable by the public (“User modified Contents”). You may not submit or upload User modified Contents that is defamatory, harassing, threatening, bigoted, hateful, violent, vulgar, obscene, pornographic, or otherwise offensive or that harms or can reasonably be expected to harm any person or entity, whether or not such material is protected by law. 

Ownership of the Intellectual Property. The visual interfaces, graphics, design, compilation, information, data, computer code (including source code or object code), products, software, services, all other elements of the Service and the User modified Contents (-Intellectual Property- or -IP-) are protected by law. All IP contained in the Service is our property or third-party licensors’ property. Except as expressly authorized by us in these Terms, you may not make use of any IP contained in the Service. We reserve all rights to the IP not granted expressly in these Terms. 

You are solely responsible for the User modified Contents you have made and you represent and warrant that: (i)You have the necessary licenses, rights, consents, and permissions, to communicate, submit, upload or make the User modified Contents Representations; and (2) the User modified Contents, and the use of your User modified Contents, does not and will not: (i) infringe, violate, or misappropriate any third-party right, including any copyright, trademark, patent, trade secret, moral right, privacy right, right of publicity, or any other intellectual property or proprietary right; (ii) slander, defame, libel, or invade the right of privacy, publicity or other property rights of any other person; (iii) require Miniwan to obtain any further licenses from or pay royalties or compensation or other amounts or provide any attribution to any third parties; (iv) result in a breach of contract between you and a third party; or (v) cause us to violate any law or regulation. You agree to pay all monies owing to any person as a result of providing the User modified Contents. 

You agree to indemnify and hold us and our subsidiary and affiliated companies, and each of their respective employees and officers, harmless from any demands, loss, liability, claims or expenses (including attorneys' fees), made against us by any third party arising out of or in connection with our use and exploitation of the User Generated Content. You also agree not to enforce any moral rights, ancillary rights or similar rights in or to the User Generated Content against us or our licensees, distributors, agents, representatives and other authorized users, and agree to procure the same agreement not to enforce from others who may possess such rights. 

We have the right but not the obligation to monitor, screen, post, remove, modify, store and review User modified Content or communications sent through Service, at any time and for any reason, including to ensure that the User Modified Content or communication conforms to the Terms, without prior notice to you. We are not responsible for, and do not endorse or guarantee, the opinions, views, advice or recommendations posted or sent by users. 

3. MONITORING AND PROHIBITED ACTIVITIES
We have no obligation to monitor the User modified Content and we are not responsible for monitoring the Service for inappropriate or illegal Content or conduct by other players. However, we do reserve the right, in our sole discretion, to monitor and/or record your interactions with the Services and other players (including chat text and voice communications) when you are using the Services.

You agree not to engage in any of the following prohibited activities on or in relation to our services, or allow any person to use Your Account with us to do the same:
•        send any unsolicited, unauthorised spam (such as spam comments in our social media services), advertising or promotional messages, or any other commercial communications;
•        submit, upload, transmit or display, through our services, any content (whether displayed publicly or not, and whether displayed directly or indirect to any other users) which in fact or in our reasonable opinion:
o        breaches any laws or regulations (or may result in a breach of any laws or regulations when used in a manner permitted by this Terms of Use);
o        creates a risk of loss or damage to any person or property;
o        is fraudulent, false, misleading or deceptive;
o        harms or exploits any person (whether adult or minor) in any way, including via bullying, harassment or threats of violence;
o        is hateful, harassing, abusive, racially or ethnically offensive, defamatory, humiliating to other people (publicly or otherwise), threatening, profane or otherwise objectionable;
o        promotes or encourages self-harming;
o        infringes our rights or any third party’s rights, including any intellectual property rights, contractual rights, confidentiality rights or privacy rights;
o        is pornographic, sexually explicit, violent or otherwise of an indecent or offensive nature; or
o        encourages or is likely to encourage any of the above;
•        violate any applicable laws or regulations, including credit card fraud or bank account fraud;
•        engage in any illegal or potentially illegal (as determined by us) activities or transactions, including sale of any illicit drugs or money laundering;
•        gamble, provide gambling information or entice others to engage in gambling through any method;
•        use or exploit any of our intellectual property rights (including our trademarks, brand name, logo, any other of our proprietary information or the layout or design of any page), or otherwise infringe on any of our intellectual property rights (including attempting to reverse engineer any applications or software used to access our services);
•        access any of our services, collect or process any content made available through our services, send or redirect any communications through our services, in each case, through the use any automated bots, software, engines, crawlers, scrapers, data mining tools or the like, or attempt to do any of the foregoing, including using any automated means to artificially promote any content;
•        engage in any “framing”, “mirroring,” or other techniques directed at simulating the appearance or function of our services;
•        interfere with, or attempt to interfere with, any user’s or any other party’s access to our services;
•        intentionally distribute viruses, worms, Trojan horses, corrupted files or other malicious code or items;
•        share or publish any other person’s personally identifiable information using our services without their express consent;
•        probe or test the vulnerability of, or otherwise circumvent (or attempt to circumvent) any security features on, our services, our systems or the systems of other users;
•        create multiple accounts for disruptive or abusive purposes; or
•        engage in any other activity that encourages any person or entity to breach this Terms of Use.

4. Indemnity
You agree that you will be responsible for your use of the Service, and you agree to defend and indemnify us and our officers, directors, employees, consultants, affiliates, investors, business partners, subsidiaries and agents (together, the -Affiliated Parties-) from and against every claim, liability, damage, loss, and expense, including reasonable attorneys’ fees and costs, arising out of or in any way connected with: (a) your access to, use of, or alleged use of the Service; (b) your violation of any portion of these Terms, any representation, warranty, or agreement referenced in these Terms, or any applicable law or regulation; (c) your violation of any third-party right, including any intellectual property or proprietary right, publicity or privacy right, property right, or confidentiality obligation; or (d) any dispute or issue between you and any third party. We reserve the right, at our own expense, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you (without limiting your indemnification obligations with respect to that matter), and in that case, you agree to cooperate with our defense of that claim.

YOU AGREE TO INDEMNIFY US, OUR PARTNERS AND OUR AFFILIATE COMPANIES FROM AND AGAINST ANY CLAIM, SUIT, ACTION, DEMAND, DAMAGE, DEBT, LOSS, COST, EXPENSE (INCLUDING LITIGATION COSTS AND ATTORNEYS’ FEES) AND LIABILITY ARISING FROM: (I) YOUR USE OF OUR SERVICES OR SOFTWARE; OR (II) YOUR BREACH OF THIS TERMS OF USE."
4077,Klik utk menambah plugin
4078,Oke
4079,Plugin berhasil ditambahkan
4080,Pesan
4081,Pilih pesan
4082,Tim Mini World
4083,Klaim
4084,Buka link
4085,Jaringan tidak stabil. Coba lagi nanti.
4086,Masa berlaku:
4087,hari
4088,jam
4089,Pengambilan gagal. Coba lagi nanti.
4090,Klaim hadiah
4091,Sudah ambil
4092,Tidak ada pesan baru
4093,Baru
4094,Tambah
4095,Restart game utk load plugin baru berfungsi
4096,"Plugin terpilih : @1, plugin pack:@2"
4097,OK
4098,Tips : Klik O utk load plugin
4099,Plugin terpilih : @1 
4100,Plugin pack terpilih : @1
4101,Plugins loaded
4102,Masuk game
4130,Alat
4131,Senjata
4132,Lainnya
4133,Peralatan
4150,Tidak
4151,Iya
4152,Serangan dekat
4153,Kendali
4154,Ledakan
4155,Makhluk
4156,Blok
4157,Makhluk dan blok
4158,Tembak
4159,Ledakan
4200,Perlawanan ledakan
4201,"Ketahanan blok, semakin tinggi semakin susah dihancurkan. (Contoh: 5 tanah dan 55 batu. Batu lebih tahan lama. -1 berarti anti ledakan."
4202,Hardness
4203,"Perlu waktu utk mengumpulkan blok. Semakin besar nilai, semakin lama pula blok dapat bertahan. (Contoh : Kayu 3, batu 7. Waktu yg dipakai utk mengumpulkan batu lebih panjang. -1 berarti tidak akan rusak)"
4204,Sliding accel.
4205,"Berjalan inersia diatas blok. Semakin besar angka, semakin sulit utk berhenti. (Contoh : inersia es lebih besar, gampang terpeleset)"
4206,Kecepatan bakar
4207,"Kecepatan bakar blok. Semakin besar angka, semakin cepat pula kecepatan. (Contoh: Kayu 1, daun 5. Daun akan terbakar lebih cepat)"
4208,Peluang
4209,"Peluang terbakarnya blok. Semakin besar angka, semakin mudah blok terbakar oleh api sekitar"
4210,Cahaya
4211,"Ketika angka >1, blok akan bercahaya. Semakin besar angka, semakin terang cahaya."
4300,Nyawa
4301,Nyawa habis hingga nol dinyatakan mati
4302,Serang  
4303,Serangan makhluk. Setiap diserang 1 titik akan mengurangi 1 nyawa
4304,Penglihatan
4305,Penglihatan makhluk， semakin besar angka semakin jauh pula dapat melihat target. (Contoh : 10 berarti makhluk dapat melihat target sejauh max 10 block)
4306,Jumlah muncul
4307,Jumlah max makhluk sejenis akan muncul 
4308,Zoom
4309,"Perubahan ukuran makhluk. Semakin besar angka semakin besar pula bentuk makhluk.
"
4310,Kecepatan
4311,Kecepatan gerak makhluk. Semakin besar angka semakin cepat pula gerakan. (Kecepatan standar = 400)
4312,Pertahanan serangan
4313,"Setiap 1 titik pertahanan, mengurangi 4%cedera"
4314,Armor jarak jauh
4315,"Setiap 1 titik pertahanan, mengurangi 4%cedera"
4316,Armor ledakan
4317,"Setiap 1 titik pertahanan, mengurangi 4%cedera"
4400,Jumlah max tumpukan
4401,Jumlah max alat pada tas
4402,Buat jadi alat?
4403,"Jika benar, atur fungsi dan properti alat"
4404,Buat jadi makanan?
4405,"Jika benar, atur fungsi dan properti makanan"
4406,Buat jadi projektil?
4407,"Jika benar, atur fungsi dan properti projektil"
4408,Bonus hasil
4409,Bonus hasil bertambah saat pakai alat utk mengumpulkan blok
4410,Jenis serangan
4411,Jenis serangan alat
4412,Serang
4413,"Serangan alat, setiap 1 titik serangan mengurangi 1 nyawa target"
4414,Ketahanan  
4415,Ketahanan alat. Alat rusak total saat ketahanan = 0
4416,Berat
4417,"Berat projektil saat terbang. Semakin kecil angka, semakin jauh terbang"
4418,Kecepatan
4419,"Kecepatan proyektil saat terbang. Semakin besar angka, semakin jauh terbang"
4420,Atenuasi kecepatan
4421,"Kecepatan atenuasi proyektil, semakin kecil angka semakin jauh terbang"
4422,Dapat diambil
4423,Proyektil bisa diambil dan digunakan kembali setelah jatuh ketanah
4424,Jenis target
4425,Kontrol jenis target yg dapat ditabrak proyektil
4426,Delay
4427,Berapa waktu yg diperlukan utk proyektil target?
4428,Serangan
4429,Serangan proyektil. Setiap 1 titik mengurangi 1 nyawa target
4430,Jenis serangan
4431,2 Jenis serangan proyektil : tembakan point dan ledakan
4432,Waktu pakai :
4433,Waktu penggunaan makanan
4434,Tambah tingkat lapar
4435,Tingkat lapar yg bertambah stlh memakai
4436,Ketahanan lapar
4437,Ketahanan lapar bertambah stlh pakai
4438,Pengobatan
4439,Value nyawa akan kembali setelah memakai
4440,Waktu akumulasi:
4441,Akumulasi waktu senjata jarak jauh
4442,Jenis
4443,"Cara mengontrol penggunaan alat, hanya jenis alat dan  jenis penggunaan yang sesuai untuk diterapkan.Misalnya, senjata jarak jauh harus sesuai dengan senjata jarak jauh atau senjata api, dan apel harus sesuai dengan makanan."
4444,Serangan
4445,"Setiap terserang 1 titik, nyawa target berkurang 1"
4446,Interval penembakan
4447,"Semakin besar angka, semakin lambat kecepatan serangan"
4448,Mode tembak
4449,KKontrol senjata utk serangan beruntun
4450,Peluru
4451,Ganti peluru saat peluru sudah habis dipakai
4452,Mode tembak
4453,Kontrol apakah tembakan senjata atau pengantain peluru perlu mengkonsumsi alat yg sesuai
4454,Amunisi
4455,Deskripsi
4456,Jumlah konsumsi
4457,Deskripsi
4458,Penurunan gravitasi
4459,Deskripsi
4460,Drop Items
4461,Deskripsi
4462,Jenis crash
4463,Kontrol blok : udara - bisa lewat; padat - tidak bisa lewat; cair - bisa lewat tapi akan melambat; tidak menghalangi proyektil: hanya proyektil yang bisa lewat
4464,Udara
4465,Bisa lewat
4466,Benda padat
4467,Tidak bisa lewat
4468,Cair
4469,Bisa lewat tapi akan melambat
4470,Tidak menghalangi proyektil
4471,Hanya proyektil yang bisa lewat
4472,Peluru unlimited
4473,Peluru bebas
4474,Peluru terbatas
4475,Perlu peluru utk tembak
4476,Tembak bebas
4477,Tidak perlu peluru
4478,Jenis alat
4479,Blok
4480,Barang2
4481,Alat
4482,Sekelompok items
4483,Monster
4484,UID
4485,Panah
4486,Bom/melempar
4487,Peralatan
4488,Senjata
4489,Makanan
4490,Alat+lemparan
4491,Alat+makanan
4492,Blok+makanan
4493,@Null@
4494,@Null@
4495,@Null@
4496,@Null@
4497,@Null@
4498,@Null@
4499,@Null@
4500,Tidak
4501,Iya
4502,Serangan dekat
4503,Kontrol
4504,Ledakan
4505,Makhluk crash
4506,Blok crash
4507,Makhluk dan blok
4508,Tembak
4509,Ledakan
4510,Alat umum
4511,Klik blok target
4512,Klik blok cair
4513,Klik utk pakai
4514,Kontrol senjata (panah)
4515,Makanan
4516,Dipakai di tas
4517,Di pakai di gudang
4518,Kontrol senjata (pistol)
4519,Top up belum tersedia. Silakan top up di Google Play Store/App Store.
4520,Top up segera hadir
4521,Kamu telah online 2 jam
4522,Capek? Istiharat aja dulu atau coba main multiplayer?
4523,Silakan klik setuju utk  perjanjian upload kreasi dan Galeri 
4530,Pendek
4531,Menengah
4532,Panjang
4533,Sedikit
4534,Menengah
4535,Lebih
4536,Rendah
4537,Menengah
4538,Tinggi
4539,Pelan
4540,Sedang
4541,Cepat
4542,Pilih amunisi
4543,Jadwalkan
4544,Custom
4545,Pilih amunisi
4546,Jadwalkan
4547,Custom
4548,Tips : Custom baru dapat ditemukan pada  Tas-edit 
4549,Pilih tampilan blok
4550,Batas max tumpukan
4551,Ketahanan serangan
4552,Jenis alat
4553,Kosong
4554,Kapak
4555,Palu
4556,Skop
4557,Gunting
4558,@Null@
4559,@Null@
4560,@Null@
4561,@Null@
4562,@Null@
4563,Lv alat
4564,Ketahanan pengumpulan
4565,Materi perbaiki
4566,Jumlah perbaiki
4567,Kecepatan tambah bonus
4568,Sbg pelempar
4569,Mode akumulasi
4570,Akumulasi umum
4571,Rilis setelah penuh
4572,Tidak perlu akumulasi
4573,Interval melempar
4574,Jenis Senjata
4575,Pistol
4576,Senapan Mesin Ringan
4577,Senapan Sniper
4578,Senapan Mesin Berat
4579,Senapan
4580,@Null@
4581,@Null@
4582,@Null@
4583,@Null@
4584,@Null@
4585,Berat
4586,Properti dasar
4587,Kumpulkan properti
4588,Ketahanan properti
4589,Properti objek terbang
4590,Buat item custom
4591,Pilih jenis item utk dibuat
4592,Pilih jenis item  
4593,Interval melempar
4594,"Jenis senjata berpengaruh pada efek suara, api dan  impulse belakang"
4595,"Jenis alat dan Lv alat akan berpengaruh pada blok yg dikumpulkan. Contoh : Palu. Lv1 bisa ambil batu, Lv2 bisa ambil batu mineral, Lv 3 bisa ambil batu emas"
4596,Rusak karena projektil
4597,Rusakan blok
4598,Setting Mode Tembak
4599,Manual
4600,Half-Auto
4601,Otomatis
4602,Kumpulkan blok
4603,"Saat poin kelaparan >=#c0aaa1a%s#n , ada #c0aaa1a%s#n kesempatan utk mengumpulkan #c0aaa1a%s#n disekitar"
4604,Nilai Eksekusi
4605,Jangkauan Wilayah
4606,Target koleksi
4607,Apa target siap/tidak
4608,Gerakan Kecepatan
4609,Deteksi poin kelaparan
4610,Pemakaian poin kelaparan
4611,Poin/detik
4612,Ambil  
4613,"Saat poin kelaparan>=#c0aaa1a%s#n , ada #c0aaa1a%s#n kesempatan utk mengumpulkan #c0aaa1a%s#n disekitar, hingga terkumpul #c0aaa1a%s#n"
4614,Ambil target
4615,Kuantitas kepemilikan
4616,Simpan
4617,"Saat poin kelaparan  >=#c0aaa1a%s#n, dan jumlah =#c0aaa1a%s#n dalam tas lebih besar dari  >=#c0aaa1a%s#n, ada #c0aaa1a%s#n kesempatan utk simpan di #c0aaa1a%s#n"
4618,Item yg disimpan
4619,Jumlah alat
4620,Simpan target
4621,Pilih kontainer
4622,@Null@
4623,@Null@
4624,@Null@
4625,@Null@
4626,Tanaman
4627,"Saat poin kelaparan >=#c0aaa1a%s#n , ada #c0aaa1a%s#n kemungkinan untuk pakai #c0aaa1a%s#n pada #c0aaa1a%s#n"
4628,Blok target
4629,Pakai alat
4630,Pilih alat
4631,Pakai alat
4632,@Null@
4633,@Null@
4634,@Null@
4635,Menjaga
4636,"Saat poin kelaparan >#c0aaa1a%s#n , ada  #c0aaa1a%s#n kemungkinan untuk menjaga #c0aaa1a%s#n"
4637,Blok penjaga
4638,Ambil
4639,"Saat poin kelaparan >=#c0aaa1a%s#n , ada #c0aaa1a%s#n kemungkinan dari #c0aaa1a%s#n sekitar untuk mengambil #c0aaa1a%s#n bibit hingga sampai #c0aaa1a%s#n buah"
4640,Pilih kontainer
4641,Ambil alat
4642,Jumlah alat
4643,Buat
4644,"Saat poin kelaparan >=#c0aaa1a%s#n , ada >=#c0aaa1a%s#n kesempatan untuk buat >=#c0aaa1a%s#n"
4645,Pilih formula
4646,Waktu buat
4647,Pilih formula
4648,Tidur
4649,"Ada >#c0aaa1a%s#n kemungkinan tidur pada jam  >#c0aaa1a%s#n waktu game, tidur  >#c0aaa1a%s#n jam"
4650,Waktu tidur
4651,Durasi tidur
4652,Lokasi tidur
4653,Jam
4654,Lapar
4655,"Saat poin kelaparan <#c0aaa1a%s#n, duduk dan jangan bergerak"
4656,Pendeteksi poin kelaparan
4657,Durasi  
4658,Pemilih
4659,Perlu makanan
4660,Pilih makanan
4661,@Null@
4662,@Null@
4663,@Null@
4664,@Null@
4665,Makan
4666,"Saat poin kelaparan <#c0aaa1a%s#n , ambil makanan dari tas. Jangan bersedih jika tas mu kosong ya"
4667,Pemilih
4668,Pilih makanan
4669,Serang
4670,"Saat poin kelaparan>#c0aaa1a%s#n , ada #c0aaa1a%s#n kemungkinan untuk menyerang, sampai nomornya dibawah >#c0aaa1a%s#n"
4671,Pilih target
4672,Nomor
4673,Apakah telah melahirkan
4674,Melahirkan
4675,"Saat poin kelaparan <#c0aaa1a%s#n , ada #c0aaa1a%s#n kemungkinan utk memberi makan #c0aaa1a%s#n dengan #c0aaa1a%s#n"
4676,Pilih target
4677,Apakah target siap melahirkan
4678,Pakai alat
4679,Pilih alat
4680,Pakai alat
4681,@Null@
4682,@Null@
4683,@Null@
4684,Pilih kontainer
4685,Kontainer
4686,Pilih blok
4687,Blok
4688,@Null@
4689,@Null@
4690,@Null@
4691,Pilih formula
4692,Buat aksi ke trigger
4693,Not Trigger
4694,Buat item berikut dgn kotak alat
4699,@Null@
4700,Yakin hapus plugin?
4701,Umum (semua)
4702,Survival
4703,Kreasi
4704,Tanding
4705,Sirkuit
4706,"
Puzzle
"
4707,Parkour
4708,Lainnya
4709,Jenis
4710,Teman
4711,Dalam game
4712,Online
4713,Disconnecting...
4714,UID : @1
4715,Online
4716,Offline
4717,Kirim
4718,"#c49463FJaga keamanan akun, jangan berikan data pribadi atau passwordmu ke orang lain"
4719,Teman
4720,Teman (di HP)
4721,Sekitar
4722,Following
4723,Teman
4724,Buka
4725,Barcode
4726,Scan
4727,Pesan : @1
4728,Permintaanmu telah terkirim
4729,Tindakan gagal. Silakan coba lagi.
4730,Telah berteman
4731,Hapus semua
4732,Yakin hapus semua?
4733,Pesan kosong
4734,Permintaan pertemanan
4735,Mini Captain
4736,Pengiriman gagal. Silakan coba lagi nanti.
4737,Nomor salah
4738,Follow
4739,Pemain tidak ada
4740,Dia sudah jadi temanmu
4741,Sampai batas max teman
4742,Kumpulkan
4743,Memakai foto yg tidak sesuai
